Date,Open,High,Low,Close
0,101.46,103.27,101.4,109.16
1,103.28,104.37,102.76,109.35
2,104.32,105.53,103.97,110.62
3,105.27,105.89,104.85,110.92
6,105.12,105.37,104.3,111.26
7,105.02,106.31,105.02,110.82
8,105.95,106.22,105.51,111.19
9,105.86,106.22,105.4,111.27
10,106.05,106.37,105.37,110.3
13,105.8,105.87,104.59,109.48
14,104.87,105.72,104.75,110.19
15,105.7,106.1,105.11,107.13
16,105.27,105.71,105.15,107.73
17,105.4,105.52,104.4,107.72
20,105.2,105.84,104.62,107.39
21,105.56,106.04,105.46,106.07
22,106,106.3,105.5,107.21
23,105.64,105.91,104.65,106.6
24,105.09,107.26,104.53,106.23
27,106.9,107.51,106.57,105.61
28,107.39,107.96,107.1,105.2
29,107.85,109,107.69,105.64
30,108.13,108.76,107.11,105.5
31,107.49,108.04,107.09,106.7
34,107.28,108.81,107.15,106.4
35,108.61,109.69,108.55,106.85
36,109.47,109.64,108.51,107.02
37,108.82,109.27,108.28,107.32
38,109.17,109.76,108.7,106.84
41,109.05,109.05,107.97,106.69
42,108.9,109.33,108.44,105.79
43,109.16,109.65,108.85,105.69
44,109.47,110.65,109.28,105.35
45,110.51,111.26,110.25,102.75
48,110.91,111.43,110.35,104.85
49,111.25,111.73,110.53,105.2
50,110.82,111.32,110.07,104.9
51,111.15,111.5,110.53,104.72
52,111.3,111.46,110.05,105.36
55,110.18,110.4,108.35,106.41
56,109.46,110.4,109.35,106.88
57,110.18,110.31,106.54,105.74
58,107.21,107.95,106.57,105.84
59,107.72,108,107.29,104.75
62,107.85,107.92,106.69,104.5
63,107.57,108.15,105.73,104.68
64,106.15,107.45,106,104.76
65,107.15,107.25,106.14,105.66
66,106.6,106.7,106.03,105.73
69,106.3,106.6,104.76,105.76
70,105.51,105.85,104.55,106.3
71,105.2,106.2,104.68,106.25
72,105.65,105.8,105.07,106.37
73,105.43,106.78,105.32,108.16
76,106.9,107.1,106.22,108.72
77,106.38,107.17,106.25,108.4
78,106.75,107.15,106.46,108.97
79,107.09,107.77,106.93,107.95
80,107.23,107.66,106.67,108.52
83,106.86,107.15,106.55,108.97
84,106.75,106.78,105.65,109.2
85,105.79,106.3,104.96,109.53
86,105.74,105.94,104.78,108.45
87,105.42,106.06,101.99,108.34
90,103.3,105.6,102.79,109.25
91,104.91,105.77,104.12,109.6
92,105.19,105.52,104.71,109.26
93,104.85,105.13,104.53,108.65
94,104.75,105.47,104.67,106.98
97,105.42,106.82,105.25,107.09
98,106.46,107.1,106.3,106.41
99,106.89,106.95,105.22,107.79
100,105.8,106.09,105.57,107.3
101,105.83,106.15,104.72,107.11
104,104.23,105.4,103.18,107
105,104.47,104.85,104.01,106.5
106,104.65,105.03,104.18,107.61
107,104.87,105.8,104.46,108.49
108,105.69,105.88,105.4,108
111,105.78,106,105.04,107.32
112,105.66,106.35,105.18,105.77
113,106.27,106.77,105.5,105.32
114,106.23,106.61,105.8,106.03
115,106.36,108.26,106.3,106.85
118,107.84,109.01,107.65,106.82
119,108.74,108.94,108.21,106.88
120,108.47,109.47,108.29,106.58
121,109.09,109.61,107.61,106.43
122,107.95,108.67,107.21,106.37
125,108.72,109.2,108.27,105.88
126,108.89,109.63,108.53,105.53
127,109.18,109.6,108.58,105.55
128,109.51,110.06,108.04,104.53
129,108.44,109.05,107.65,104.74
132,108.66,109.57,108.54,105.63
133,109.14,109.89,108.73,105.3
134,109.66,110.02,108.98,105.61
135,109.22,109.45,108.42,105.23
136,108.42,108.85,106.3,105.98
139,107.08,107.45,106.75,105.66
140,107.12,107.28,106.37,106.07
141,106.44,107.94,106.37,106.92
142,107.72,107.97,107.24,107.44
143,107.33,107.82,106.53,107.84
146,107.03,107.36,106.65,107.01
147,107,107.02,106.01,107.05
148,106.55,107.92,106.15,108.06
149,107.63,108.98,107.58,108.1
150,108.52,109.05,107.62,107.8
153,108.04,108.28,107.22,108.03
154,107.32,107.6,105.15,108.08
155,105.8,106.18,104.98,108.27
156,105.37,106.21,105.37,107.68
157,105.86,107.01,105.82,108.88
160,106.78,107.15,106.3,108.74
161,106.84,107,106.16,109.07
162,106.89,107.11,106.25,109.13
163,106.6,106.71,105.83,109.12
164,106.45,106.58,105.97,109.47
167,106.44,106.49,105.57,109.39
168,105.84,105.87,105.17,109.24
169,105.45,105.66,105.12,108.85
170,105.48,105.6,104.08,108.3
171,104.55,104.9,103.88,108.57
174,104.6,105.75,104.22,109.07
175,105.6,105.91,105.22,108.62
176,105.25,105.79,105.22,107.77
177,105.53,105.53,104.33,108.66
178,105.26,106.35,104.71,108.49
181,106.14,106.46,105.57,109.38
182,105.64,106.5,105.25,109.02
183,106.16,107.17,105.78,108.55
184,106.95,107.5,106.78,108.59
185,107.42,107.92,107.19,108.37
188,107.83,107.87,106.54,108.66
189,107.01,107.14,106.55,108.28
190,107.09,108.46,107,106.92
191,108.01,108.36,106.92,106.83
192,108.05,108.41,107.5,106.81
195,107.75,108.79,107.29,106.45
196,107.94,108.4,107.58,106.03
197,108.15,108.35,107.68,106.5
198,108.22,108.25,107.25,106.63
199,107.51,109.17,107.35,105.96
202,108.74,109.12,108.44,105.76
203,108.72,109.29,108.54,105.79
204,109.06,109.38,108.86,105.87
205,109.1,109.33,108.68,105.08
206,109.11,109.78,108.5,106.11
209,109.55,109.78,109.1,105.99
210,109.3,109.77,108.91,106.79
211,109.23,109.31,108.3,107.1
212,108.87,109.12,107.87,107.6
213,108.3,108.66,108.04,107.07
216,108.53,109.12,108.5,106.89
217,109.05,109.25,108.29,106.97
218,108.52,108.68,107.73,106.54
219,107.85,108.97,107.45,106.54
220,108.65,108.95,108.26,107.9
223,108.61,109.58,108.53,107.74
224,109.39,109.61,108.83,107.55
225,108.99,109.17,108.28,107.31
226,108.5,108.65,108.21,107.57
227,108.54,109.12,108.04,108.05
230,108.25,108.75,107.78,108.8
231,108.68,108.68,108.08,108.8
232,108.28,108.35,106.79,109.25
233,107,107.38,106.54,109.08
234,106.83,107.28,106.61,108.8
237,106.75,106.77,106.03,108.75
238,106.47,106.7,105.97,107.71
239,106.08,106.72,105.83,107.73
240,106.45,106.85,106.17,107.67
241,106.73,106.73,105.51,107.78
244,105.89,105.96,105.55,108.02
245,105.9,106.52,105.73,107.99
246,105.82,106.12,105.55,107.66
247,105.88,106.45,104.75,108.33
248,105.15,106.26,105.04,108.83
251,106.08,106.51,105.82,108.22
252,106.15,107.04,106.05,107.68
253,106.79,107.33,106.78,108.21
254,107.06,107.65,106.88,108.32
255,107.5,107.73,107.05,108.62
258,107.1,107.18,106.64,108.97
259,106.87,107.13,106.65,108.96
260,106.94,107.39,106.35,108.12
261,106.62,106.77,106.25,108.09
262,106.63,108.14,106.35,107.01
265,107.93,108.12,107.33,107.38
266,107.74,107.77,107.1,106.94
267,107.53,107.89,107.15,107.24
268,107.28,107.74,107.17,107.35
