Date,Open,High,Low,Close
0,101.46,103.27,101.4,105.65
1,103.28,104.37,102.76,105.3
2,104.32,105.53,103.97,105.33
3,105.27,105.89,104.85,104.68
6,105.12,105.37,104.3,105.65
7,105.02,106.31,105.02,105.97
8,105.95,106.22,105.51,105.69
9,105.86,106.22,105.4,105.15
10,106.05,106.37,105.37,107.08
13,105.8,105.87,104.59,107.36
14,104.87,105.72,104.75,107.79
15,105.7,106.1,105.11,108.11
16,105.27,105.71,105.15,107.56
17,105.4,105.52,104.4,107.16
20,105.2,105.84,104.62,108.67
21,105.56,106.04,105.46,109.49
22,106,106.3,105.5,108.72
23,105.64,105.91,104.65,109.2
24,105.09,107.26,104.53,108.75
27,106.9,107.51,106.57,108.88
28,107.39,107.96,107.1,109.16
29,107.85,109,107.69,109.35
30,108.13,108.76,107.11,110.62
31,107.49,108.04,107.09,110.92
34,107.28,108.81,107.15,111.26
35,108.61,109.69,108.55,110.82
36,109.47,109.64,108.51,111.19
37,108.82,109.27,108.28,111.27
38,109.17,109.76,108.7,110.3
41,109.05,109.05,107.97,109.48
42,108.9,109.33,108.44,110.19
43,109.16,109.65,108.85,107.13
44,109.47,110.65,109.28,107.73
45,110.51,111.26,110.25,107.72
48,110.91,111.43,110.35,107.39
49,111.25,111.73,110.53,106.07
50,110.82,111.32,110.07,107.21
51,111.15,111.5,110.53,106.6
52,111.3,111.46,110.05,106.23
55,110.18,110.4,108.35,105.61
56,109.46,110.4,109.35,105.2
57,110.18,110.31,106.54,105.64
58,107.21,107.95,106.57,105.5
59,107.72,108,107.29,106.7
62,107.85,107.92,106.69,106.4
63,107.57,108.15,105.73,106.85
64,106.15,107.45,106,107.02
65,107.15,107.25,106.14,107.32
66,106.6,106.7,106.03,106.84
69,106.3,106.6,104.76,106.69
70,105.51,105.85,104.55,105.79
71,105.2,106.2,104.68,105.69
72,105.65,105.8,105.07,105.35
73,105.43,106.78,105.32,102.75
76,106.9,107.1,106.22,104.85
77,106.38,107.17,106.25,105.2
78,106.75,107.15,106.46,104.9
79,107.09,107.77,106.93,104.72
80,107.23,107.66,106.67,105.36
83,106.86,107.15,106.55,106.41
84,106.75,106.78,105.65,106.88
85,105.79,106.3,104.96,105.74
86,105.74,105.94,104.78,105.84
87,105.42,106.06,101.99,104.75
90,103.3,105.6,102.79,104.5
91,104.91,105.77,104.12,104.68
92,105.19,105.52,104.71,104.76
93,104.85,105.13,104.53,105.66
94,104.75,105.47,104.67,105.73
97,105.42,106.82,105.25,105.76
98,106.46,107.1,106.3,106.3
99,106.89,106.95,105.22,106.25
100,105.8,106.09,105.57,106.37
101,105.83,106.15,104.72,108.16
104,104.23,105.4,103.18,108.72
105,104.47,104.85,104.01,108.4
106,104.65,105.03,104.18,108.97
107,104.87,105.8,104.46,107.95
108,105.69,105.88,105.4,108.52
111,105.78,106,105.04,108.97
112,105.66,106.35,105.18,109.2
